__label__1 , play us some music
__label__1 , play music
__label__1 , play songs
__label__2 , adjust the brightness to 70 %
__label__2 , increase the volume
__label__1 , play some taylor swift songs
__label__2 , decrease the brightness
__label__1 , stop the music
__label__1 , pause the music
__label__2 , increase the volume by 10 %
__label__2 , set volume to 0 %
__label__1 , play the artist halsey ( artist )
__label__1 , play halsey ( artist )
__label__2 , reduce the brightness
__label__2 , reduce the volume
__label__2 , set the brightness to 100 %
__label__1 , play alive
__label__1 , play alive by krewella
__label__2 , set brightness max
